AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.26.0.4. Set the 'ServerName' directive globally to suppress this message
[Sun Jan 21 21:54:41.198250 2024] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.54 (Debian) PHP/7.4.33 configured -- resuming normal operations
[Sun Jan 21 21:54:41.198428 2024] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Sun Jan 21 22:07:00.909757 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Notice:  Undefined property: WP_Error::$attachment_id in /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php on line 365, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909810 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909830 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909837 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909843 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909848 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909853 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_options() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909858 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   6. Blocksy\\DemoInstallOptionsInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:72, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909864 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   7. Blocksy\\DemoInstallOptionsInstaller->import_options() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:85, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909870 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   8. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:108, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:00.909876 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   9. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:351, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.430983 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Notice:  Undefined property: WP_Error::$attachment_id in /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php on line 375, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431035 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431053 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431060 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431076 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
